Flightline,Frame_ID,Latitude,Longitude,Height ASL_meters,Azimuth_degrees,Nominal_scale,Exposure_date,Download,metadata_link,source_link
,720_837,18.27833,-64.95861,9144,94.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_837.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_837,https://products.coastalscience.noaa.gov/aerialviewer/
,720_838,18.27667,-64.93528,9144,94.4,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_838.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_838,https://products.coastalscience.noaa.gov/aerialviewer/
,720_839,18.275,-64.91222,9144,94.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_839.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_839,https://products.coastalscience.noaa.gov/aerialviewer/
,720_840,18.27333,-64.88889,9144,94.4,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_840.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_840,https://products.coastalscience.noaa.gov/aerialviewer/
,720_841,18.27167,-64.86583,9144,94.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_841.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_841,https://products.coastalscience.noaa.gov/aerialviewer/
,720_842,18.27,-64.8425,9144,93.6,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_842.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_842,https://products.coastalscience.noaa.gov/aerialviewer/
,720_843,18.26861,-64.81945,9144,94.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_843.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_843,https://products.coastalscience.noaa.gov/aerialviewer/
,720_844,18.26695,-64.79611,9144,94.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_844.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_844,https://products.coastalscience.noaa.gov/aerialviewer/
,720_845,18.30139,-64.71389,9144,0.1,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_845.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_845,https://products.coastalscience.noaa.gov/aerialviewer/
,720_846,18.30139,-64.7375,9144,0.1,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_846.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_846,https://products.coastalscience.noaa.gov/aerialviewer/
,720_847,18.30139,-64.76111,9144,269.3,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_847.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_847,https://products.coastalscience.noaa.gov/aerialviewer/
,720_848,18.30111,-64.78472,9144,0.1,60,11/15/1971 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi_historic/images/720_848.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi_historic&id=720_848,https://products.coastalscience.noaa.gov/aerialviewer/
